datetime,date,hour,id_meteo_station,Velocità del vento,dew_point,humidity,temperature,wet_bulb,wind_dir,wind_gust
2025-06-23 01:15:17,2025-06-23,01:15:17,out,0.76,20.7,100.0,20.7,20.717,2.9,1.6
2025-06-23 01:15:57,2025-06-23,01:15:57,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:16:20,2025-06-23,01:16:20,out,0.7,20.7,100.0,20.7,20.717,15.0,1.58
2025-06-23 01:17:00,2025-06-23,01:17:00,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:17:24,2025-06-23,01:17:24,out,1.07,20.7,100.0,20.7,20.717,12.3,1.35
2025-06-23 01:18:04,2025-06-23,01:18:04,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:18:56,2025-06-23,01:18:56,out,0.66,20.7,100.0,20.7,20.717,7.8,0.81
2025-06-23 01:19:08,2025-06-23,01:19:08,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:19:58,2025-06-23,01:19:58,out,0.72,20.7,100.0,20.7,20.717,28.6,1.08
2025-06-23 01:20:11,2025-06-23,01:20:11,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:21:01,2025-06-23,01:21:01,out,0.68,20.7,100.0,20.7,20.717,7.1,1.2
2025-06-23 01:21:14,2025-06-23,01:21:14,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:22:04,2025-06-23,01:22:04,out,0.97,20.7,100.0,20.7,20.717,7.1,1.3
2025-06-23 01:22:18,2025-06-23,01:22:18,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:23:08,2025-06-23,01:23:08,out,0.89,20.6,100.0,20.7,20.717,2.0,1.32
2025-06-23 01:23:22,2025-06-23,01:23:22,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:24:12,2025-06-23,01:24:12,out,0.79,20.7,100.0,20.7,20.717,37.5,1.1
2025-06-23 01:24:25,2025-06-23,01:24:25,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:25:15,2025-06-23,01:25:15,out,0.74,20.6,100.0,20.6,20.616,17.5,1.23
2025-06-23 01:25:28,2025-06-23,01:25:28,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:26:18,2025-06-23,01:26:18,out,0.91,20.6,100.0,20.6,20.616,32.7,1.27
2025-06-23 01:26:32,2025-06-23,01:26:32,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:27:22,2025-06-23,01:27:22,out,0.86,20.6,100.0,20.6,20.616,25.4,1.15
2025-06-23 01:27:36,2025-06-23,01:27:36,in,0.96,1310.8,0.0,20.9,6.503,329.1,1.32
2025-06-23 01:28:26,2025-06-23,01:28:26,out,1.01,20.6,100.0,20.6,20.616,9.9,1.2
2025-06-23 01:28:39,2025-06-23,01:28:39,in,0.96,1310.8,0.0,20.8,6.461,329.1,1.32
2025-06-23 01:29:29,2025-06-23,01:29:29,out,0.65,20.6,100.0,20.6,20.616,356.9,1.14
2025-06-23 01:29:42,2025-06-23,01:29:42,in,0.96,1310.8,0.0,20.8,6.461,329.1,1.32
