datetime;hour;CO2;NH3;CH4;Pressure;date;id_channel
2025-04-01 07:56:07;07:56:07;629.115187;1.95869885;18.46409387;974.5;2025-04-01;3
2025-04-01 08:00:09;08:00:09;621.0264851;1.91745714;17.90175852;974.5;2025-04-01;3
2025-04-01 08:04:08;08:04:08;633.2688447;1.90898282;19.15839059;974.38;2025-04-01;3
2025-04-01 08:08:05;08:08:05;612.3365958;1.87847525;12.68388627;974.38;2025-04-01;3
2025-04-01 08:12:03;08:12:03;590.147319;1.90644052;13.81095627;974.38;2025-04-01;3
2025-04-01 08:15:59;08:15:59;764.4369838;2.52111152;36.39284449;974.38;2025-04-01;3
2025-04-01 08:19:54;08:19:54;688.4141165;2.26688178;20.42701914;974.38;2025-04-01;3
2025-04-01 08:23:55;08:23:55;494.5038843;1.97098662;6.51559229;974.38;2025-04-01;3
2025-04-01 08:27:52;08:27:52;553.1469731;1.88242993;13.10121408;974.38;2025-04-01;3
2025-04-01 08:31:49;08:31:49;569.3790303;1.79246086;11.71097113;974.5;2025-04-01;3
2025-04-01 08:35:46;08:35:46;536.7673517;1.86703491;9.04745098;974.5;2025-04-01;3
2025-04-01 08:39:52;08:39:52;600.203543;1.8596905;23.37215683;974.5;2025-04-01;3
2025-04-01 08:43:48;08:43:48;485.5625894;1.96957424;7.76277713;974.5;2025-04-01;3
2025-04-01 08:47:48;08:47:48;575.9374373;1.86830606;16.02580778;974.5;2025-04-01;3
2025-04-01 08:51:44;08:51:44;707.6521102;1.92014068;22.15901203;974.5;2025-04-01;3
2025-04-01 08:55:43;08:55:43;606.8712567;1.95050701;11.34042962;974.56;2025-04-01;3
2025-04-01 08:59:38;08:59:38;595.1207776;2.02790584;17.077;974.56;2025-04-01;3
2025-04-01 09:03:40;09:03:40;508.9159835;1.86985968;5.72577354;974.56;2025-04-01;3
2025-04-01 09:07:42;09:07:42;613.0470899;2.10502219;15.74838901;974.5;2025-04-01;3
2025-04-01 09:11:44;09:11:44;650.2660494;2.09697158;19.08191298;974.5;2025-04-01;3
2025-04-01 09:15:41;09:15:41;496.449545;2.05234014;5.9646536;974.56;2025-04-01;3
2025-04-01 09:19:39;09:19:39;502.734685;1.78426901;7.76607616;974.5;2025-04-01;3
2025-04-01 09:23:43;09:23:43;522.4153712;1.71774556;8.94758023;974.5;2025-04-01;3
2025-04-01 09:27:41;09:27:41;553.5295468;1.89627133;9.60288836;974.38;2025-04-01;3
2025-04-01 09:31:46;09:31:46;518.7426633;1.83243142;6.13875263;974.38;2025-04-01;3
2025-04-01 09:35:42;09:35:42;475.9381272;1.95064824;5.37097742;974.38;2025-04-01;3
2025-04-01 09:39:43;09:39:43;557.6285512;1.79712173;11.24190847;974.25;2025-04-01;3
2025-04-01 09:43:44;09:43:44;504.5491776;1.81082189;8.67690948;974.25;2025-04-01;3
2025-04-01 09:47:50;09:47:50;513.0204532;1.9041807;7.30466126;974.38;2025-04-01;3
2025-04-01 09:51:49;09:51:49;578.2328797;1.80955074;12.30749647;974.38;2025-04-01;3
2025-04-01 09:55:46;09:55:46;549.5398493;1.76915646;8.12971969;974.38;2025-04-01;3
2025-04-01 09:59:43;09:59:43;491.5362051;1.75531507;5.80674983;974.38;2025-04-01;3
2025-04-01 10:03:47;10:03:47;518.2234561;2.00417773;16.79058386;974.38;2025-04-01;3
2025-04-01 10:07:49;10:07:49;507.9212918;2.19061286;21.96706823;974.5;2025-04-01;3
2025-04-01 10:11:47;10:11:47;480.8022791;1.74599331;17.57485423;974.5;2025-04-01;3
2025-04-01 10:15:44;10:15:44;594.7382039;2.58170294;43.59973437;974.5;2025-04-01;3
2025-04-01 10:19:43;10:19:43;562.1647827;2.46616965;39.2525072;974.38;2025-04-01;3
2025-04-01 10:23:41;10:23:41;476.9765417;1.7204291;8.51180782;974.38;2025-04-01;3
2025-04-01 10:27:48;10:27:48;521.3223034;2.07380843;19.60675931;974.38;2025-04-01;3
2025-04-01 10:31:46;10:31:46;807.1759357;4.14874676;105.1357172;974.25;2025-04-01;3
2025-04-01 10:35:47;10:35:47;579.2166407;2.84483071;47.19118283;974.25;2025-04-01;3
